1488326400,0.85
1488326410,0.85
1488326420,0.85
1488326430,0.85
1488326440,0.85
1488326450,0.85
1488326460,0.85
1488326470,0.85
1488326480,0.86
1488326490,0.84
1488326500,0.85
1488326510,0.87
1488326520,0.87
1488326530,0.86
1488326540,0.87
1488326550,0.87
1488326560,0.87
1488326570,0.88
1488326580,0.91
1488326590,0.88
1488326600,0.88
1488326610,0.90
1488326620,0.89
1488326630,0.89
1488326640,0.90
1488326650,0.90
1488326660,0.90
1488326670,0.90
1488326680,0.91
1488326690,0.90
1488326700,0.91
1488326710,0.91
1488326720,0.91
1488326730,0.91
1488326740,0.91
1488326750,0.91
1488326760,0.91
1488326770,0.91
1488326780,0.91
1488326790,0.91
1488326800,0.91
1488326810,0.91
1488326820,0.91
1488326830,0.90
1488326840,0.87
1488326850,0.86
1488326860,0.86
1488326870,0.87
1488326880,0.87
1488326890,0.87
1488326900,0.86
1488326910,0.87
1488326920,0.87
1488326930,0.86
1488326940,0.86
1488326950,0.87
1488326960,0.87
1488326970,0.85
1488326980,0.85
1488326990,0.88
1488327000,0.87
1488327010,0.86
1488327020,0.88
1488327030,0.88
1488327040,0.89
1488327050,0.89
1488327060,0.89
1488327070,0.89
1488327080,0.91
1488327090,0.91
1488327100,0.91
1488327110,0.90
1488327120,0.91
1488327130,0.91
1488327140,0.92
1488327150,0.91
1488327160,0.92
1488327170,0.93
1488327180,0.92
1488327190,0.92
1488327200,0.93
1488327210,0.93
1488327220,0.92
1488327230,0.92
1488327240,0.92
1488327250,0.92
1488327260,0.92
1488327270,0.92
1488327280,0.92
1488327290,0.92
1488327300,0.92
1488327310,0.92
1488327320,0.93
1488327330,0.92
1488327340,0.92
1488327350,0.92
1488327360,0.92
1488327370,0.92
1488327380,0.93
1488327390,0.92
1488327400,0.93
1488327410,0.92
1488327420,0.92
1488327430,0.92
1488327440,0.91
1488327450,0.91
1488327460,0.90
1488327470,0.91
1488327480,0.91
1488327490,0.90
1488327500,0.91
1488327510,0.91
1488327520,0.91
1488327530,0.91
1488327540,0.95
1488327550,0.96
1488327560,0.98
1488327570,0.98
1488327580,0.98
1488327590,0.98
1488327600,0.98
1488327610,0.98
1488327620,0.98
1488327630,0.98
1488327640,0.98
1488327650,0.86
1488327660,0.81
1488327670,0.81
1488327680,0.91
1488327690,0.89
1488327700,0.89
1488327710,0.89
1488327720,0.89
1488327730,0.90
1488327740,0.90
1488327750,0.90
1488327760,0.90
1488327770,0.90
1488327780,0.90
1488327790,0.90
1488327800,0.90
1488327810,0.90
1488327820,0.90
1488327830,0.90
1488327840,0.91
1488327850,0.91
1488327860,0.92
1488327870,0.93
1488327880,0.92
1488327890,0.92
1488327900,0.92
1488327910,0.92
1488327920,0.93
1488327930,0.93
1488327940,0.92
1488327950,0.93
1488327960,0.93
1488327970,0.93
1488327980,0.93
1488327990,0.93
1488328000,0.93
1488328010,0.93
1488328020,0.92
1488328030,0.91
1488328040,0.91
1488328050,0.91
1488328060,0.91
1488328070,0.91
1488328080,0.93
1488328090,0.93
1488328100,0.93
1488328110,0.93
1488328120,0.93
1488328130,0.92
1488328140,0.92
1488328150,0.92
1488328160,0.92
1488328170,0.92
1488328180,0.94
1488328190,0.92
1488328200,0.92
1488328210,0.92
1488328220,0.92
1488328230,0.92
1488328240,0.92
1488328250,0.91
1488328260,0.91
1488328270,0.92
1488328280,0.93
1488328290,0.91
1488328300,0.92
1488328310,0.92
1488328320,0.92
1488328330,0.92
1488328340,0.92
1488328350,0.92
1488328360,0.92
1488328370,0.93
1488328380,0.93
1488328390,0.93
1488328400,0.93
1488328410,0.93
1488328420,0.93
1488328430,0.93
1488328440,0.93
1488328450,0.92
1488328460,0.91
1488328470,0.91
1488328480,0.91
1488328490,0.91
1488328500,0.91
1488328510,0.91
1488328520,0.91
